contract_type;symbol;date_time;strike;last_price;bid;ask;change;% Change;colume;open_interest;implied_volatility
C;TSLA200320C00370000;2020-03-09 9:30AM EDT;370.00;267.00;327.05;344.65;0.00;-;2;0;511.69%
C;TSLA200320C00375000;2020-03-09 9:49AM EDT;375.00;278.58;271.75;273.95;0.00;-;2;0;188.45%
C;TSLA200320C00380000;2020-03-09 10:09AM EDT;380.00;235.00;232.05;250.50;0.00;-;11;0;0.00%
C;TSLA200320C00385000;2020-03-02 11:14AM EDT;385.00;245.45;303.85;309.55;0.00;-;1;0;428.19%
C;TSLA200320C00390000;2020-03-10 9:42AM EDT;390.00;260.30;222.50;241.00;0.00;-;2;0;0.00%
C;TSLA200320C00395000;2020-03-09 10:09AM EDT;395.00;256.96;252.65;255.50;0.00;-;1;0;187.23%
C;TSLA200320C00400000;2020-03-10 3:54PM EDT;400.00;245.50;297.10;315.50;0.00;-;24;0;464.16%
C;TSLA200320C00405000;2020-03-09 12:40PM EDT;405.00;226.15;292.25;310.60;0.00;-;2;0;456.79%
C;TSLA200320C00410000;2020-03-10 3:21PM EDT;410.00;239.35;233.60;241.80;0.00;-;2;0;159.62%
C;TSLA200320C00415000;2020-03-10 9:46AM EDT;415.00;241.41;198.50;213.10;0.00;-;1;0;0.00%
C;TSLA200320C00420000;2020-03-09 12:15PM EDT;420.00;248.87;277.85;295.90;0.00;-;11;0;435.47%
C;TSLA200320C00425000;2020-03-10 10:17AM EDT;425.00;224.79;224.10;226.15;0.00;-;7;0;173.02%
C;TSLA200320C00430000;2020-03-10 2:15PM EDT;430.00;207.92;215.05;221.85;0.00;-;2;0;153.61%
C;TSLA200320C00435000;2020-03-09 10:42AM EDT;435.00;203.85;180.15;194.75;0.00;-;1;0;0.00%
C;TSLA200320C00440000;2020-03-10 2:25PM EDT;440.00;204.65;175.65;190.20;0.00;-;1;0;0.00%
C;TSLA200320C00445000;2020-03-10 3:21PM EDT;445.00;207.05;253.40;271.35;0.00;-;1;0;400.57%
C;TSLA200320C00450000;2020-03-09 3:20PM EDT;450.00;175.00;168.40;182.95;0.00;-;4;0;0.00%
C;TSLA200320C00455000;2020-03-09 11:03AM EDT;455.00;184.24;164.05;176.95;0.00;-;2;0;0.00%
C;TSLA200320C00460000;2020-03-10 10:14AM EDT;460.00;179.62;188.50;190.60;0.00;-;2;0;141.58%
C;TSLA200320C00465000;2020-03-10 3:38PM EDT;465.00;183.65;234.70;252.50;0.00;-;10;0;376.62%
C;TSLA200320C00470000;2020-03-06 1:05PM EDT;470.00;151.55;149.50;163.95;0.00;-;1;0;0.00%
C;TSLA200320C00475000;2020-03-09 2:06PM EDT;475.00;154.25;222.05;224.85;0.00;-;1;0;329.52%
C;TSLA200320C00480000;2020-03-06 3:42PM EDT;480.00;164.80;142.85;155.45;0.00;-;29;0;0.00%
C;TSLA200320C00485000;2020-03-10 3:47PM EDT;485.00;164.25;165.30;167.50;0.00;-;1;0;135.82%
C;TSLA200320C00490000;2020-03-06 3:42PM EDT;490.00;205.68;133.90;147.15;0.00;-;2;0;0.00%
C;TSLA200320C00495000;2020-03-06 2:55PM EDT;495.00;148.18;206.25;224.10;0.00;-;1;0;341.10%
C;TSLA200320C00500000;2020-03-10 3:49PM EDT;500.00;150.70;121.45;134.25;0.00;-;10;0;0.00%
C;TSLA200320C00505000;2020-03-09 1:10PM EDT;505.00;158.67;147.35;150.45;0.00;-;1;0;134.05%
C;TSLA200320C00510000;2020-03-10 2:25PM EDT;510.00;140.60;118.00;130.50;0.00;-;1;0;0.00%
C;TSLA200320C00515000;2020-03-06 2:55PM EDT;515.00;114.35;138.25;140.05;0.00;-;1;0;127.39%
C;TSLA200320C00520000;2020-03-10 2:57PM EDT;520.00;131.74;134.50;136.30;0.00;-;2;0;129.09%
C;TSLA200320C00525000;2020-03-10 3:47PM EDT;525.00;129.40;105.85;120.50;0.00;-;2;0;53.32%
C;TSLA200320C00530000;2020-03-09 3:42PM EDT;530.00;125.25;175.45;190.30;0.00;-;1;0;303.62%
C;TSLA200320C00535000;2020-03-10 2:43PM EDT;535.00;116.65;122.55;125.50;0.00;-;2;0;131.37%
C;TSLA200320C00540000;2020-03-10 3:48PM EDT;540.00;115.80;118.45;119.75;0.00;-;2;0;127.41%
C;TSLA200320C00545000;2020-03-10 3:51PM EDT;545.00;114.00;89.45;105.55;0.00;-;4;0;87.85%
C;TSLA200320C00550000;2020-03-10 3:47PM EDT;550.00;107.55;109.80;111.10;0.00;-;59;0;123.69%
C;TSLA200320C00555000;2020-03-10 2:30PM EDT;555.00;95.60;82.70;98.45;0.00;-;3;0;93.63%
C;TSLA200320C00560000;2020-03-10 3:08PM EDT;560.00;100.99;100.00;104.70;0.00;-;8;0;121.33%
C;TSLA200320C00565000;2020-03-10 12:26PM EDT;565.00;89.60;146.65;156.30;0.00;-;3;0;269.17%
C;TSLA200320C00570000;2020-03-10 3:32PM EDT;570.00;91.10;93.35;94.90;0.00;-;7;0;117.98%
C;TSLA200320C00575000;2020-03-10 3:39PM EDT;575.00;89.35;72.90;82.90;0.00;-;19;0;76.47%
C;TSLA200320C00580000;2020-03-10 2:47PM EDT;580.00;84.94;85.80;87.45;0.00;-;2;0;116.21%
C;TSLA200320C00585000;2020-03-10 10:32AM EDT;585.00;78.20;82.85;84.40;0.00;-;1;0;117.18%
C;TSLA200320C00590000;2020-03-10 3:16PM EDT;590.00;76.45;77.10;79.65;0.00;-;2;0;111.67%
C;TSLA200320C00595000;2020-03-10 11:37AM EDT;595.00;56.35;72.55;75.40;0.00;-;4;0;108.48%
C;TSLA200320C00600000;2020-03-10 3:57PM EDT;600.00;70.80;70.95;72.05;0.00;-;1;0;110.30%
C;TSLA200320C00605000;2020-03-10 3:58PM EDT;605.00;67.03;54.30;62.50;0.00;-;2;0;83.80%
C;TSLA200320C00610000;2020-03-10 3:02PM EDT;610.00;62.07;63.60;64.90;0.00;-;2;0;107.21%
C;TSLA200320C00615000;2020-03-10 3:47PM EDT;615.00;58.55;59.70;61.60;0.00;-;3;0;105.47%
C;TSLA200320C00620000;2020-03-10 2:52PM EDT;620.00;56.40;57.20;58.80;0.00;-;6;0;105.91%
C;TSLA200320C00625000;2020-03-10 3:56PM EDT;625.00;54.00;54.70;57.05;0.00;-;13;0;107.39%
C;TSLA200320C00630000;2020-03-10 3:59PM EDT;630.00;50.20;40.30;53.50;0.00;-;5;0;92.13%
C;TSLA200320C00635000;2020-03-10 3:51PM EDT;635.00;47.50;38.15;48.45;0.00;-;5;0;89.76%
C;TSLA200320C00640000;2020-03-10 3:57PM EDT;640.00;45.30;40.80;49.70;0.00;-;23;0;100.34%
C;TSLA200320C00645000;2020-03-10 3:59PM EDT;645.00;40.60;38.10;44.10;0.00;-;8;0;96.19%
C;TSLA200320C00650000;2020-03-10 3:58PM EDT;650.00;39.00;35.05;42.75;0.00;-;77;0;96.42%
C;TSLA200320C00655000;2020-03-10 3:58PM EDT;655.00;36.05;30.65;40.25;0.00;-;10;0;93.49%
C;TSLA200320C00660000;2020-03-10 3:52PM EDT;660.00;33.00;31.65;37.70;0.00;-;36;0;96.63%
C;TSLA200320C00665000;2020-03-10 3:54PM EDT;665.00;31.50;27.35;37.35;0.00;-;34;0;95.90%
C;TSLA200320C00670000;2020-03-10 3:48PM EDT;670.00;27.40;66.30;75.50;0.00;-;26;0;191.13%
C;TSLA200320C00675000;2020-03-10 3:58PM EDT;675.00;26.64;62.95;72.50;0.00;-;67;0;188.21%
C;TSLA200320C00680000;2020-03-10 3:59PM EDT;680.00;24.45;60.90;69.30;0.00;-;177;0;186.48%
C;TSLA200320C00685000;2020-03-10 3:55PM EDT;685.00;22.50;59.15;66.50;0.00;-;91;0;185.47%
C;TSLA200320C00690000;2020-03-10 3:55PM EDT;690.00;20.90;19.70;29.15;0.00;-;272;0;97.97%
C;TSLA200320C00695000;2020-03-10 3:57PM EDT;695.00;19.00;18.35;27.10;0.00;-;158;0;97.50%
C;TSLA200320C00700000;2020-03-10 3:59PM EDT;700.00;17.41;50.00;55.00;0.00;-;13;0;173.49%
C;TSLA200320C00705000;2020-03-10 3:59PM EDT;705.00;16.70;49.00;52.75;0.00;-;1;0;173.55%
C;TSLA200320C00710000;2020-03-10 3:59PM EDT;710.00;14.55;46.00;49.90;0.00;-;2;0;170.40%
C;TSLA200320C00715000;2020-03-10 3:58PM EDT;715.00;13.05;43.70;47.50;0.00;-;41;0;168.49%
C;TSLA200320C00720000;2020-03-10 3:57PM EDT;720.00;11.86;41.55;44.20;0.00;-;22;0;165.55%
C;TSLA200320C00725000;2020-03-10 3:47PM EDT;725.00;10.40;38.05;42.95;0.00;-;1;0;163.29%
C;TSLA200320C00730000;2020-03-10 3:58PM EDT;730.00;10.45;11.70;20.65;0.00;-;153;0;103.38%
C;TSLA200320C00735000;2020-03-10 3:58PM EDT;735.00;9.03;35.45;38.80;0.00;-;51;0;161.79%
C;TSLA200320C00740000;2020-03-10 3:56PM EDT;740.00;8.25;9.55;9.80;0.00;-;312;0;89.01%
C;TSLA200320C00745000;2020-03-10 3:59PM EDT;745.00;7.64;10.65;20.65;0.00;-;38;0;110.63%
C;TSLA200320C00750000;2020-03-10 3:59PM EDT;750.00;7.00;8.10;8.45;0.00;-;522;0;89.28%
C;TSLA200320C00755000;2020-03-10 3:49PM EDT;755.00;6.20;10.70;15.70;0.00;-;487;0;108.59%
C;TSLA200320C00760000;2020-03-10 3:54PM EDT;760.00;5.80;6.90;16.35;0.00;-;57;0;106.08%
C;TSLA200320C00765000;2020-03-10 3:56PM EDT;765.00;5.20;23.15;28.65;0.00;-;56;0;151.24%
C;TSLA200320C00770000;2020-03-10 3:52PM EDT;770.00;4.70;5.75;6.00;0.00;-;124;0;89.21%
C;TSLA200320C00775000;2020-03-10 3:32PM EDT;775.00;4.35;5.10;5.70;0.00;-;116;0;89.28%
C;TSLA200320C00780000;2020-03-10 3:56PM EDT;780.00;4.15;4.70;5.25;0.00;-;175;0;89.43%
C;TSLA200320C00785000;2020-03-10 3:43PM EDT;785.00;3.40;4.40;14.40;0.00;-;44;0;110.39%
C;TSLA200320C00790000;2020-03-10 3:57PM EDT;790.00;3.50;17.60;21.35;0.00;-;226;0;146.41%
C;TSLA200320C00795000;2020-03-10 3:59PM EDT;795.00;2.58;16.80;20.20;0.00;-;5;0;145.97%
C;TSLA200320C00800000;2020-03-10 3:59PM EDT;800.00;2.85;5.00;13.45;0.00;-;8;0;116.53%
C;TSLA200320C00805000;2020-03-10 3:53PM EDT;805.00;2.60;16.50;19.00;0.00;-;1;0;148.57%
C;TSLA200320C00810000;2020-03-10 3:55PM EDT;810.00;2.50;3.25;12.70;0.00;-;111;0;115.78%
C;TSLA200320C00815000;2020-03-10 2:30PM EDT;815.00;2.02;2.76;3.20;0.00;-;45;0;91.89%
C;TSLA200320C00820000;2020-03-10 3:57PM EDT;820.00;2.10;5.65;10.65;0.00;-;127;0;120.73%
C;TSLA200320C00825000;2020-03-10 3:51PM EDT;825.00;1.92;13.00;15.00;0.00;-;1;0;145.40%
C;TSLA200320C00830000;2020-03-10 3:49PM EDT;830.00;1.75;2.23;2.67;0.00;-;1;0;93.35%
C;TSLA200320C00835000;2020-03-10 3:41PM EDT;835.00;1.54;2.10;2.54;0.00;-;8;0;94.02%
C;TSLA200320C00840000;2020-03-10 3:47PM EDT;840.00;1.69;1.97;2.25;0.00;-;237;0;93.92%
C;TSLA200320C00845000;2020-03-10 3:57PM EDT;845.00;1.66;4.00;9.00;0.00;-;51;0;123.11%
C;TSLA200320C00850000;2020-03-10 3:59PM EDT;850.00;1.40;8.25;10.50;0.00;-;12;0;138.17%
C;TSLA200320C00855000;2020-03-10 3:46PM EDT;855.00;1.32;3.70;8.70;0.00;-;6;0;125.35%
C;TSLA200320C00860000;2020-03-10 2:59PM EDT;860.00;1.31;1.63;10.05;0.00;-;11;0;125.31%
C;TSLA200320C00865000;2020-03-10 2:59PM EDT;865.00;1.09;2.95;7.95;0.00;-;281;0;124.99%
C;TSLA200320C00870000;2020-03-10 3:45PM EDT;870.00;1.30;7.30;9.00;0.00;-;212;0;140.45%
C;TSLA200320C00875000;2020-03-10 1:24PM EDT;875.00;1.06;6.90;8.60;0.00;-;1;0;140.42%
C;TSLA200320C00880000;2020-03-10 3:40PM EDT;880.00;0.37;1.00;2.47;0.00;-;18;0;102.93%
C;TSLA200320C00885000;2020-03-10 3:22PM EDT;885.00;1.18;0.80;1.65;0.00;-;3;0;98.39%
C;TSLA200320C00890000;2020-03-10 3:51PM EDT;890.00;1.00;0.73;10.45;0.00;-;35;0;134.52%
C;TSLA200320C00895000;2020-03-10 11:38AM EDT;895.00;0.86;5.60;7.70;0.00;-;2;0;142.05%
C;TSLA200320C00900000;2020-03-10 3:59PM EDT;900.00;0.90;6.30;1.35;0.00;-;352;0;126.72%
C;TSLA200320C00905000;2020-03-10 1:35PM EDT;905.00;0.80;1.12;6.30;0.00;-;88;0;127.49%
C;TSLA200320C00910000;2020-03-10 3:07PM EDT;910.00;0.68;1.65;6.65;0.00;-;45;0;132.15%
C;TSLA200320C00915000;2020-03-10 3:59PM EDT;915.00;0.75;1.75;6.75;0.00;-;10;0;134.41%
C;TSLA200320C00920000;2020-03-10 2:35PM EDT;920.00;0.80;0.30;6.25;0.00;-;178;0;128.85%
C;TSLA200320C00925000;2020-03-10 1:44PM EDT;925.00;0.50;1.25;6.25;0.00;-;46;0;133.98%
C;TSLA200320C00930000;2020-03-10 1:30PM EDT;930.00;0.62;3.90;5.70;0.00;-;80;0;142.77%
C;TSLA200320C00935000;2020-03-10 3:03PM EDT;935.00;0.79;0.70;5.70;0.00;-;144;215;132.72%
C;TSLA200320C00940000;2020-03-10 3:03PM EDT;940.00;0.65;1.05;6.05;0.00;-;85;0;136.98%
C;TSLA200320C00945000;2020-03-10 12:36PM EDT;945.00;0.75;3.40;5.05;0.00;-;12;0;143.46%
C;TSLA200320C00950000;2020-03-10 3:55PM EDT;950.00;0.65;3.40;4.30;0.00;-;1;0;142.21%
C;TSLA200320C00955000;2020-03-10 12:24PM EDT;955.00;0.52;0.85;5.85;0.00;-;419;225;139.75%
C;TSLA200320C00960000;2020-03-10 2:46PM EDT;960.00;0.63;0.80;5.80;0.00;-;28;0;140.77%
C;TSLA200320C00965000;2020-03-10 3:45PM EDT;965.00;0.80;2.83;4.35;0.00;-;7;178;144.54%
C;TSLA200320C00970000;2020-03-10 3:06PM EDT;970.00;0.56;0.00;6.00;0.00;-;36;0;141.00%
C;TSLA200320C00975000;2020-03-10 1:24PM EDT;975.00;0.59;0.70;5.25;0.00;-;14;0;142.16%
C;TSLA200320C00980000;2020-03-10 3:01PM EDT;980.00;0.53;2.53;3.95;0.00;-;17;0;145.85%
C;TSLA200320C00985000;2020-03-09 2:47PM EDT;985.00;0.55;0.05;5.05;0.00;-;126;241;140.86%
C;TSLA200320C00990000;2020-03-10 3:53PM EDT;990.00;0.50;0.55;5.55;0.00;-;22;0;146.90%
C;TSLA200320C00995000;2020-03-10 3:33PM EDT;995.00;0.45;0.50;5.50;0.00;-;17;0;147.79%
C;TSLA200320C01000000;2020-03-10 3:58PM EDT;1,000.00;0.50;0.51;2.91;0.00;-;359;0;135.30%
C;TSLA200320C01010000;2020-03-10 11:51AM EDT;1,010.00;0.43;1.35;3.30;0.00;-;17;0;145.02%
C;TSLA200320C01020000;2020-03-10 3:30PM EDT;1,020.00;0.54;0.45;5.45;0.00;-;13;0;153.86%
C;TSLA200320C01030000;2020-03-10 3:37PM EDT;1,030.00;0.49;1.70;2.94;0.00;-;16;0;149.95%
C;TSLA200320C01040000;2020-03-09 9:32AM EDT;1,040.00;0.71;0.20;5.00;0.00;-;10;0;155.42%
C;TSLA200320C01050000;2020-03-10 3:40PM EDT;1,050.00;0.40;1.25;1.95;0.00;-;52;0;145.78%
C;TSLA200320C01060000;2020-03-10 12:24PM EDT;1,060.00;0.71;0.25;5.25;0.00;-;2;0;161.84%
C;TSLA200320C01070000;2020-03-10 3:28PM EDT;1,070.00;0.35;1.10;5.35;0.00;-;5;0;168.95%
C;TSLA200320C01080000;2020-03-10 10:01AM EDT;1,080.00;0.48;1.25;1.70;0.00;-;7;0;150.68%
C;TSLA200320C01090000;2020-03-10 12:45PM EDT;1,090.00;0.40;0.90;2.13;0.00;-;7;0;153.49%
C;TSLA200320C01100000;2020-03-10 3:39PM EDT;1,100.00;0.32;0.96;2.05;0.00;-;2;0;155.49%
C;TSLA200320C01110000;2020-03-10 11:17AM EDT;1,110.00;0.27;0.20;1.97;0.00;-;14;0;150.34%
C;TSLA200320C01120000;2020-03-10 10:27AM EDT;1,120.00;0.30;0.39;1.90;0.00;-;2;0;153.56%
C;TSLA200320C01130000;2020-03-10 9:48AM EDT;1,130.00;0.55;0.20;5.10;0.00;-;9;0;176.93%
C;TSLA200320C01140000;2020-03-09 2:44PM EDT;1,140.00;0.46;0.20;1.78;0.00;-;3;0;154.49%
C;TSLA200320C01150000;2020-03-10 2:10PM EDT;1,150.00;0.23;0.50;1.77;0.00;-;20;0;159.38%
C;TSLA200320C01160000;2020-03-09 3:57PM EDT;1,160.00;0.50;0.25;5.25;0.00;-;7;337;184.55%
C;TSLA200320C01170000;2020-03-10 2:31PM EDT;1,170.00;0.52;0.95;10.00;0.00;-;8;351;211.28%
C;TSLA200320C01180000;2020-03-10 3:52PM EDT;1,180.00;0.32;0.70;2.00;0.00;-;42;1,302;169.29%
C;TSLA200320C01190000;2020-03-10 3:41PM EDT;1,190.00;0.28;0.45;5.45;0.00;-;4;276;193.09%
C;TSLA200320C01200000;2020-03-10 3:55PM EDT;1,200.00;0.24;0.85;1.00;0.00;-;100;2,16;164.45%
C;TSLA200320C01210000;2020-03-09 9:30AM EDT;1,210.00;0.50;0.50;1.08;0.00;-;3;350;162.89%
C;TSLA200320C01220000;2020-03-06 4:46PM EDT;1,220.00;0.63;0.05;5.05;0.00;-;6;131;194.56%
C;TSLA200320C01230000;2020-03-06 3:27PM EDT;1,230.00;0.30;0.05;5.05;0.00;-;11;80;196.53%
C;TSLA200320C01240000;2020-03-09 9:56AM EDT;1,240.00;1.35;0.40;5.40;0.00;-;1;164;202.64%
C;TSLA200320C01250000;2020-03-10 12:28PM EDT;1,250.00;0.10;0.40;5.40;0.00;-;6;1,068;204.59%
C;TSLA200320C01260000;2020-03-09 10:28AM EDT;1,260.00;0.50;0.35;5.35;0.00;-;1;86;205.96%
C;TSLA200320C01270000;2020-03-05 4:24PM EDT;1,270.00;1.50;0.35;5.35;0.00;-;4;209;207.86%
C;TSLA200320C01280000;2020-03-06 2:29PM EDT;1,280.00;0.63;0.35;5.35;0.00;-;7;164;209.77%
C;TSLA200320C01290000;2020-03-09 3:45PM EDT;1,290.00;0.10;0.35;5.35;0.00;-;1;248;211.65%
C;TSLA200320C01300000;2020-03-10 1:39PM EDT;1,300.00;0.15;0.07;5.00;0.00;-;21;1,842;209.60%
C;TSLA200320C01320000;2020-03-10 2:12PM EDT;1,320.00;0.22;0.30;5.30;0.00;-;11;390;216.55%
